method,route,category,sourceClassOrFile,responseType,requiredParameters,readOnly,riskClass,currentStatus,usedByPrizm,recommendedUse,migrationPriority,confidence,notes
GET,/modbus_map.csv,modbus-map,com.powin.turtle.TurtleModbusMapController,text/csv,none,true,safe-read,active,true,keep as preferred modbus map route,4,high,PRIZM currently prefers this path.
GET,/tools/report/ems/modbus_map.csv,modbus-map,com.powin.turtle.tools.ReportEmsController,text/csv,none,true,safe-read,active,true,keep as fallback modbus map route,4,high,Fallback when root modbus map route is unavailable.
GET,/firstresponder/data,firstresponder,com.powin.turtle.firstresponder.FirstResponderController,application/json,none,true,safe-read,active,true,keep for responder/safety context,4,high,v1 data model.
GET,/v2/firstresponder/data,firstresponder,com.powin.turtle.firstresponder.v2.FirstResponderControllerV2,application/json,none,true,safe-read,active,true,keep as preferred responder model,4,high,v2 richer schema.
GET,/tools/report/ems/array/{arrayIndex}/report.json,ems-report,com.powin.turtle.tools.ReportEmsController,application/json,arrayIndex,true,safe-read,active,true,keep for per-array telemetry,4,high,Used in array poll paths.
GET,/tools/report/ems/array/{arrayIndex}/pcs/{pcsIndex}/report.json,ems-report,com.powin.turtle.tools.ReportEmsController,application/json,"arrayIndex,pcsIndex",true,safe-read,active,true,keep for PCS drilldown,4,high,Used in PCS-specific poll paths.
GET,/tools/report/ems/array/{arrayIndex}/string/{stringIndex}/report.json,ems-report,com.powin.turtle.tools.ReportEmsController,application/json,"arrayIndex,stringIndex",true,safe-read,active,false,use for targeted detail only,3,high,Candidate to reduce heavy CSV dependence for specific views.
GET,/tools/report/ems/array/{arrayIndex}/notifications.json,ems-notifications,com.powin.turtle.tools.ReportEmsController,application/json,arrayIndex,true,safe-read,active,false,add for authoritative active notification feed,1,high,Live GET check returned valid notification payload.
GET,/tools/report/ems/array/{arrayIndex}/string/{stringIndex}/notifications.json,ems-notifications,com.powin.turtle.tools.ReportEmsController,application/json,"arrayIndex,stringIndex",true,safe-read,active,false,add for precise string-level active issues,1,high,Live GET check returned valid notification payload.
GET,/tools/monitor/ems/stringviewer/array/{arrayIndex}/{stringIndex}/data,ems-monitor,com.powin.turtle.tools.stringviewer.StringViewerEmsController,application/json,"arrayIndex,stringIndex",true,safe-read,active,false,add as high-fidelity per-string enrichment source,2,high,Live GET check returned rich stringViewerDataModel payload.
GET,/tools/report/ems/acbattery/{acBatteryIndex}/availability.json,ems-report,com.powin.turtle.tools.ReportEmsController,application/json or text/plain,acBatteryIndex,true,diagnostic-read,active-but-sparse,false,consider only when AC battery availability is required,3,medium,Live GET check returned No report found for index 1.
GET,/tools/report/modbus/poll/tcp/host/{host}/port/{port}/unitId/{unitId}/type/{type}/start/{start}/count/{count}/data,modbus-diagnostic,Modbus poll route referenced in tools.urlbuilder.ems.jspx,text/csv or text/plain,"host,port,unitId,type,start,count",true,diagnostic-read,diagnostic,false,manual diagnostics only,5,high,Not suited for automatic production polling.
"GET,POST",/tools/report/ems/balancertest/*,ems-balancer-test,Ems balancer test routes referenced in tools.urlbuilder.ems.jspx,application/json or text/plain,direction and/or test ids depending on sub-route,false,control-write,diagnostic-control,false,never auto-poll; manual test workflows only,5,high,Trigger and stop operations can alter site state.
"GET,POST",/tools/controls/ems/*,ems-control,com.powin.turtle.tools.ControlsEmsController,application/json or text/plain,varies by control command,false,control-write,active-control,false,never auto-poll; unsafe control namespace,5,high,Includes reset firmware contactor/rotation fan lightbar command and power controls.
POST,/tools/controls/ems/command,ems-control,tools.urlbuilder.ems.jspx inject EMS command,application/json or text/plain,POST body command bytes,false,control-write,active-control,false,never auto-call,5,high,Direct command injection endpoint.
"GET,POST",/tools/controls/bms/*,bms-control,com.powin.turtle.tools.ControlsBmsController,application/json or text/plain,varies by control command,false,control-write,active-control,false,never auto-poll; unsafe control namespace,5,high,Includes balancing contactors reset firmware and command paths.
"GET,POST",/tools/control/bms/stringxfer/*,bms-configuration,tools.urlbuilder.bms.jspx assign BMS IP routes,application/json or text/plain,"array/string indexes and target IP",false,configuration-write,active-control,false,never auto-poll; configuration-changing,5,high,Changes string/array network addressing.
"GET,POST",/tools/controls/*/string/firmware/*,firmware-control,tools.urlbuilder.ems.jspx and tools.urlbuilder.bms.jspx firmware sections,application/json or text/plain,target indexes and firmware version parameters,false,configuration-write,active-control,false,never auto-poll; firmware and configuration mutating,5,high,Includes trigger set and report retrieval sub-routes.
"GET,POST",/hatchery/*,hatchery,Hatchery controller routes observed in class strings,application/json or text/html,varies,unknown,unknown,internal-tooling,false,out of scope for telemetry polling,5,medium,Provisioning/deployment workflow endpoints not required for PRIZM data polling.
